date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:54	202/202	---M-Z	200	added ('OK')	text/plain	date:Mon,%2028%20Sep%202020%2017:58:28%20GMT	https://asana.com/robots.txt		(from )
12:11:54	647267/647267	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2016:58:24%20GMT	https://asana.com/	C:/My%20Web%20Sites/asana/asana.com/index.html	(from )
12:11:56	251/251	---M--	404	error ('Not%20Found')	application/json	date:Thu,%2001%20Oct%202020%2015:11:55%20GMT	http://a5.mzstatic.com/us/r30/Purple3/v4/f9/19/5e/f9195e1d-504e-9777-514d-8de51ec87e15/screen568x568.jpeg	C:/My%20Web%20Sites/asana/a5.mzstatic.com/us/r30/Purple3/v4/f9/19/5e/f9195e1d-504e-9777-514d-8de51ec87e15/screen568x568.1.delayed	(from https://asana.com/)
12:11:57	251/251	---M--	404	error ('Not%20Found')	application/json	date:Thu,%2001%20Oct%202020%2015:11:57%20GMT	http://a3.mzstatic.com/us/r30/Purple4/v4/52/93/49/529349dc-61de-6232-ca64-5d543fa8b8d4/screen568x568.jpeg	C:/My%20Web%20Sites/asana/a3.mzstatic.com/us/r30/Purple4/v4/52/93/49/529349dc-61de-6232-ca64-5d543fa8b8d4/screen568x568.2.delayed	(from https://asana.com/)
12:11:58	215533/215533	---M--	200	added ('OK')	image/png	etag:%228566fe30931ceea93e80792e33996eee%22	https://luna1.co/6f2413.png	C:/My%20Web%20Sites/asana/luna1.co/6f2413.png	(from https://asana.com/)
12:11:58	2501/2501	---M--	200	added ('OK')	image/png	etag:%22a1252f7175be537beb586c2cee3e96c1%22	https://d1gwm4cf8hecp4.cloudfront.net/images/favicons/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/asana/d1gwm4cf8hecp4.cloudfront.net/images/favicons/apple-touch-icon-57x57.png	(from https://asana.com/)
12:11:58	2653/2653	---M--	200	added ('OK')	image/png	etag:%2223ba6f49a68246076c21148dc7d41789%22	https://d1gwm4cf8hecp4.cloudfront.net/images/favicons/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/asana/d1gwm4cf8hecp4.cloudfront.net/images/favicons/apple-touch-icon-60x60.png	(from https://asana.com/)
12:11:58	3251/3251	---M--	200	added ('OK')	image/png	etag:%22fa99ab5a52f5b0c60f666205145bc40a%22	https://d1gwm4cf8hecp4.cloudfront.net/images/favicons/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/asana/d1gwm4cf8hecp4.cloudfront.net/images/favicons/apple-touch-icon-72x72.png	(from https://asana.com/)
12:11:58	3552/3552	---M--	200	added ('OK')	image/png	etag:%22ffba540e9670ff149250e75385e36735%22	https://d1gwm4cf8hecp4.cloudfront.net/images/favicons/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/asana/d1gwm4cf8hecp4.cloudfront.net/images/favicons/apple-touch-icon-76x76.png	(from https://asana.com/)
12:11:58	5600/5600	---M--	200	added ('OK')	image/png	etag:%226f91467a9dc4fa3bf3382b3dbb7f11e5%22	https://d1gwm4cf8hecp4.cloudfront.net/images/favicons/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/asana/d1gwm4cf8hecp4.cloudfront.net/images/favicons/apple-touch-icon-114x114.png	(from https://asana.com/)
